Object ID,Digital ID,Title,Object Title,Alternative Title,Creator,Contributor,Summary,Note,Subject,Genre,Publisher,Date,Approximate Date,Coverage Temporal,Coverage Spatial,Language,Repository,Collection Title,Collection No.,Series,Container,Rights,Standardized Rights Statement
asm0341001011,asm03410010110002001,Page 2,Businessman's briefing on world markets : Asia,,,,,,,,,,,,,,,,,,,,
asm0341001012,,Something new in travel by combining sea and air to the Orient,Something new in travel by combining sea and air to the Orient,,Pan American Airways Corporation,,,,,Promotional materials; Brochures;,,,,,Hawaii; China; Pacific Area; Philippines;,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001012,asm03410010120001001,Page 1,Something new in travel by combining sea and air to the Orient,,,,,,,,,,,,,,,,,,,,
asm0341001012,asm03410010120002001,Page 2,Something new in travel by combining sea and air to the Orient,,,,,,,,,,,,,,,,,,,,
asm0341001013,,49 hours to Hong Kong by Pan American's sunny mid-Pacific route,49 hours to Hong Kong by Pan American's sunny mid-Pacific route,,"Pan American World Airways, Inc.",,,,,Promotional materials; Brochures;,,,,,Pacific Area; Hong Kong (China),eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001013,asm03410010130001001,Page 1,49 hours to Hong Kong by Pan American's sunny mid-Pacific route,,,,,,,,,,,,,,,,,,,,
asm0341001013,asm03410010130002001,Page 2,49 hours to Hong Kong by Pan American's sunny mid-Pacific route,,,,,,,,,,,,,,,,,,,,
asm0341001014,,Pan American's guide to India,Pan American's guide to India,,"Pan American World Airways, Inc.",,,,,Travel guidebooks;,,,,,India,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 3; Folder Title: Asia (3 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001014,asm03410010140001001,Page 1,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140002001,Page 2,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140003001,Page 3,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140004001,Page 4,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140005001,Page 5,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140006001,Page 6,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140007001,Page 7,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140008001,Page 8,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140009001,Page 9,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140010001,Page 10,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140011001,Page 11,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001014,asm03410010140012001,Page 12,Pan American's guide to India,,,,,,,,,,,,,,,,,,,,
asm0341001015,,Pan American's guide to Hong Kong,Pan American's guide to Hong Kong,,"Pan American World Airways, Inc.",,,,,Travel guidebooks;,,,,,Hong Kong (China),eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 3; Folder Title: Asia (3 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001015,asm03410010150001001,Page 1,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001015,asm03410010150002001,Page 2,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001015,asm03410010150003001,Page 3,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001015,asm03410010150004001,Page 4,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001015,asm03410010150005001,Page 5,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001015,asm03410010150006001,Page 6,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001015,asm03410010150007001,Page 7,Pan American's guide to Hong Kong,,,,,,,,,,,,,,,,,,,,
asm0341001016,,Pan American's guide to Japan,Pan American's guide to Japan,,"Pan American World Airways, Inc.",,,,,Travel guidebooks;,,,,,Japan,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 3; Folder Title: Asia (3 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001016,asm03410010160001001,Page 1,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160002001,Page 2,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160003001,Page 3,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160004001,Page 4,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160005001,Page 5,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160006001,Page 6,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160007001,Page 7,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160008001,Page 8,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160009001,Page 9,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
asm0341001016,asm03410010160010001,Page 10,Pan American's guide to Japan,,,,,,,,,,,,,,,,,,,,
